iter	Passed	Remaining
0	162	161888
1	164	81957
2	166	55250
3	168	41901
4	169	33819
5	171	28486
6	173	24583
7	174	21685
8	176	19413
9	177	17588
10	178	16082
11	180	14820
12	181	13751
13	182	12835
14	183	12037
15	184	11329
16	185	10720
17	186	10197
18	187	9704
19	188	9255
20	189	8846
21	190	8472
22	191	8128
23	192	7819
24	193	7534
25	194	7272
26	194	7021
27	195	6795
28	196	6580
29	197	6378
30	198	6191
31	199	6020
32	199	5855
33	200	5701
34	201	5552
35	202	5417
36	203	5287
37	204	5165
38	204	5046
39	205	4933
40	206	4824
41	207	4724
42	207	4627
43	208	4532
44	209	4443
45	210	4358
46	210	4277
47	211	4200
48	212	4124
49	213	4050
50	213	3979
51	214	3910
52	215	3850
53	216	3788
54	217	3729
55	217	3672
56	218	3615
57	219	3560
58	219	3507
59	220	3455
60	221	3407
61	222	3360
62	223	3317
63	223	3271
64	224	3227
65	225	3185
66	225	3144
67	226	3105
68	227	3068
69	228	3032
70	229	2997
71	229	2961
72	230	2926
73	231	2892
74	231	2858
75	232	2826
76	233	2795
77	233	2765
78	234	2736
79	235	2706
80	236	2677
81	236	2649
82	237	2618
83	237	2591
84	238	2565
85	239	2540
86	239	2516
87	240	2493
88	241	2470
89	242	2447
90	242	2424
91	243	2402
92	244	2380
93	244	2358
94	245	2339
95	246	2319
96	246	2299
97	247	2278
98	248	2258
99	248	2239
100	249	2220
101	250	2202
102	250	2184
103	251	2166
104	252	2149
105	252	2132
106	253	2115
107	254	2099
108	254	2083
109	255	2067
110	256	2051
111	256	2036
112	257	2021
113	258	2008
114	259	1993
115	259	1978
116	260	1963
117	260	1949
118	261	1935
119	262	1922
120	262	1909
121	263	1895
122	264	1883
123	264	1871
124	265	1858
125	266	1845
126	266	1832
127	267	1821
128	267	1809
129	268	1797
130	269	1786
131	270	1776
132	270	1764
133	271	1754
134	272	1743
135	272	1732
136	273	1722
137	274	1711
138	274	1701
139	275	1691
140	276	1681
141	276	1670
142	277	1661
143	277	1651
144	278	1642
145	279	1634
146	280	1625
147	280	1615
148	281	1607
149	282	1599
150	283	1591
151	283	1583
152	284	1574
153	285	1565
154	285	1557
155	286	1549
156	286	1540
157	287	1532
158	288	1525
159	289	1518
160	289	1509
161	290	1501
162	290	1493
163	291	1485
164	292	1478
165	292	1471
166	293	1463
167	294	1456
168	294	1450
169	295	1443
170	296	1436
171	296	1429
172	297	1422
173	298	1415
174	298	1408
175	299	1401
176	299	1394
177	300	1387
178	301	1381
179	301	1375
180	302	1368
181	303	1362
182	303	1355
183	304	1349
184	304	1342
185	305	1336
186	306	1330
187	306	1325
188	307	1319
189	308	1313
190	308	1308
191	309	1302
192	310	1297
193	310	1291
194	311	1285
195	312	1280
196	313	1276
197	313	1270
198	314	1265
199	314	1259
200	315	1254
201	316	1249
202	316	1243
203	317	1238
204	318	1233
205	318	1229
206	319	1224
207	320	1219
208	321	1214
209	321	1210
210	322	1205
211	323	1200
212	323	1195
213	324	1191
214	325	1186
215	325	1182
216	326	1177
217	326	1172
218	327	1168
219	328	1163
220	328	1159
221	329	1154
222	330	1150
223	330	1146
224	331	1142
225	332	1137
226	332	1133
227	333	1129
228	334	1125
229	334	1120
230	335	1116
231	336	1112
232	336	1108
233	337	1104
234	338	1100
235	338	1096
236	339	1092
237	340	1088
238	340	1084
239	341	1080
240	341	1076
241	342	1073
242	343	1070
243	344	1066
244	344	1062
245	345	1059
246	346	1055
247	346	1051
248	347	1047
249	348	1044
250	348	1040
251	349	1037
252	350	1033
253	350	1030
254	351	1026
255	352	1023
256	352	1019
257	353	1015
258	353	1012
259	354	1008
260	355	1005
261	355	1002
262	356	999
263	357	995
264	357	992
265	358	988
266	359	985
267	359	982
268	360	978
269	361	976
270	361	972
271	362	969
272	362	966
273	363	963
274	364	960
275	364	957
276	365	954
277	366	951
278	366	948
279	367	945
280	368	942
281	369	939
282	369	936
283	370	933
284	370	930
285	371	927
286	372	924
287	372	921
288	373	919
289	374	916
290	374	913
291	375	910
292	376	907
293	376	905
294	377	902
295	378	899
296	378	897
297	379	894
298	380	891
299	381	889
300	381	886
301	382	884
302	383	882
303	384	880
304	385	878
305	386	876
306	387	875
307	389	874
308	390	872
309	391	872
310	393	870
311	393	868
312	394	866
313	395	864
314	396	861
315	397	860
316	398	859
317	399	856
318	400	854
319	401	852
320	401	850
321	402	848
322	404	846
